record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,pathway,social_or_nest_outcome,mortality,lt_lc,host_pest,extract_status
356,rayyan-628415665,Biopesticide Exposure Increases Aggression Without Impairing Nestmate Recognition in a Social Paper Wasp,2025,"De Fazi, Livia;Cervo, Rita;Baracchi, David;Bruschini, Claudia;Cappa, Federico",10.1002/tox.24547,https://doi.org/10.1002/tox.24547,DeFazi2025,03-autodissemination-social,03-autodissemination-social|04-nontarget-ecotox,abstract,0,social_behaviour,"Nestmate Recognition in a Social Paper Wasp | ntomopathogenic fungus Beauveria bassiana, o",,,Biopesticides have; Polistes dominula,endpoint_in_abstract
1430,rayyan-628420167,"Combining insect pathogenic fungi and a pheromone trap for sustainable management of the fall armyworm, Spodoptera frugiperda (Lepidoptera: Noctuidae)",2020,"Akutse, Komivi S;Khamis, Fathiya M;Ambele, Felicitas C;Kimemia, Jane W;Ekesi, Sunday;Subramanian, Sevgan",10.1016/j.jip.2020.107477,https://doi.org/10.1016/j.jip.2020.107477,Akutse2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,horizontal_transmission,horizontal transmission of the inoculum among S,,,Spodoptera frugiperda,endpoint_in_abstract
2145,rayyan-628420952,Comparison of Twelve Ant Species and Their Susceptibility to Fungal Infection,2019,"Bos, Nick;Kankaanpaa-Kukkonen, Viljami;Freitak, Dalial;Stucki, Dimitri;Sundstrom, Liselotte",10.3390/insects10090271,https://doi.org/10.3390/insects10090271,Bos2019,03-autodissemination-social,03-autodissemination-social,abstract,0,social_behaviour,"allogrooming and trophallaxis, during the days after exposure | but none of the study spec",,,Eusocial insects; Camponotus could,endpoint_in_abstract
2229,rayyan-628421041,Contribution of the horizontal transmission of the entomopathogenic fungus Beauveria bassiana to the overall performance of a fungal powder formulation against Triatoma infestans,2011,"Forlani, Lucas;Pedrini, Nicolas;Juarez, M Patricia",10.2147/rrtm.s22961,https://doi.org/10.2147/rrtm.s22961,Forlani2011,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02b_strains_traits,abstract,0,autodissemination_device|horizontal_transmission,horizontal transmission of the entomopathogenic fungus Beauveria bassiana to the overall p,,,Triatoma infestans; Chagas disease,endpoint_in_abstract
3984,rayyan-628422925,Development and evaluation of a novel contamination device that targets multiple life-stages of Aedes aegypti,2014,"Snetselaar, Janneke;Andriessen, Rob;Suer, Remco A;Osinga, Anne J;Knols, Bart Gj;Farenhorst, Marit",10.1186/1756-3305-7-200,https://doi.org/10.1186/1756-3305-7-200,Snetselaar2014,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,autodissemination_device,,,,Aedes aegypti; Dengue demands,endpoint_in_abstract
357,rayyan-628415666,Development and field evaluation of a lure-and-infect strategy integrating attractants with Beauveria bassiana for controlling Bactrocera dorsalis,2026,"Xie, Jingpeng;Zhang, Lin;Lu, Xianli;Fu, Ying;Guan, Yingxue;Liu, Huan;Wen, Jian;Cao, Fengqin",10.21203/rs.3.rs-8322768/v1,https://doi.org/10.21203/rs.3.rs-8322768/v1,Xie2026,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,horizontal_transmission,horizontal transmission of conidia to non-exposed individuals,,,Bactrocera dorsalis,endpoint_in_abstract
2387,rayyan-628421213,"Development of an attract-and-infect device for biological control of lesser mealworm, Alphitobius diaperinus (Coleoptera: Tenebrionidae) in poultry houses",2020,"Hassemer, Marla J;Lopes, Rogerio B;Borges, Miguel;Alves, Luis F A;Withall, David M;Pickett, JA;Laumann, Raul A;Birkett, Michael Alexander;Blassioli-Moraes, Maria C",10.1016/j.biocontrol.2020.104326,https://doi.org/10.1016/j.biocontrol.2020.104326,Hassemer2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,horizontal_transmission,Horizontal transmission of the Unioeste 04 strain through contaminated living A,,,Alphitobius diaperinus,endpoint_in_abstract
5397,rayyan-628425286,Dissemination of microbial agents using an autoinoculating device and several insect species as vectors,1995,"Vega, FE;Dowd, PF;Bartelt, RJ",10.1006/bcon.1995.1064,https://doi.org/10.1006/bcon.1995.1064,Vega1995,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,autodissemination_device,,,,Quantitative studies,endpoint_in_abstract
5039,rayyan-628424243,Dual suppression of Glossina pallidipes using entomopathogenic fungal-based biopesticides and sterile insect technique.,2024,Ombura FLO;Abd-Alla AMM;Akutse KS;Runo S;Mireji PO;Bateta R;Otiwi JE;Ajene IJ;Khamis FM,10.3389/fmicb.2024.1472324,https://doi.org/10.3389/fmicb.2024.1472324,Ombura2024,03-autodissemination-social,03-autodissemination-social,abstract,0,SIT,,,,Dual suppression; Glossina pallidipes,endpoint_in_abstract
1976,rayyan-628420771,Effect of bee-vectored Beauveria bassiana on greenhouse beneficials under greenhouse cage conditions,2012,"Shipp, Les;Kapongo, Jean Pierre;Park, Hong-Hyun;Kevan, Peter",10.1016/j.biocontrol.2012.07.008,https://doi.org/10.1016/j.biocontrol.2012.07.008,Shipp2012,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|04-nontarget-ecotox|01-existing-products,abstract,0,bee_vectoring,,,,Encarsia formosa; Eretmocerus eremicus,endpoint_in_abstract
6103,rayyan-628432083,Effect of entomopathogenic fungus Beauveria bassiana on behavior of termite Reticulitermes chinensis.,2025,Hassan H;Hassan A;Raza T;Ding J;Ali A;Huang Q;Lu M,10.1016/j.jip.2025.108419,https://doi.org/10.1016/j.jip.2025.108419,Hassan2025,03-autodissemination-social,03-autodissemination-social,abstract,0,social_behaviour,"allogrooming, trophallaxis, vibration, cannibalism, burial, locomotion, and foraging) and ",,,Reticulitermes chinensis; Termites play,endpoint_in_abstract
563,rayyan-628416045,Efficacy of Beauveria bassiana strain GHA spray applications against coffee berry borer Hypothenemus hampei on Hawai'i Island [Erratum: 2022 ; p.105038],2021,"Wraight, SP;Galaini-Wraight, S;Howes, RL;Castrillo, LA;Griggs, MH;Carruthers, RI;Smith, RH;Matsumoto, TK;Keith, LM",10.1016/j.biocontrol.2021.104587,https://doi.org/10.1016/j.biocontrol.2021.104587,Wraight2021,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy|01-existing-products,abstract,0,,,20-25% mortality | resulted in 20-25% mortality,,Hypothenemus hampei,endpoint_in_abstract
5052,rayyan-628424282,"Efficacy of Entomopathogenic Fungi as Prevention against Early Life Stages of the Red Palm Weevil, Rhynchophorus ferrugineus (Coleoptera: Curculionidae) in Laboratory and Greenhouse Trials.",2023,Ment D;Levy N;Allouche A;Davidovitz M;Yaacobi G,10.3390/insects14120918,https://doi.org/10.3390/insects14120918,Ment2023,03-autodissemination-social,03-autodissemination-social|01-existing-products,abstract,0,horizontal_transmission,horizontal transmission of fungal conidia from an egg-laying surface to the female weevil ,60-88% female mortality,,Rhynchophorus ferrugineus,endpoint_in_abstract
925,rayyan-628419627,Epidemiology of Beauveria bassiana in Controlled Populations of Bactericera cockerelli1,2017,"Suarez-Nunez, Janette;Alberto Margarito Garcia-Munguia;Hipolito Cortez-Madrigal",,http://europepmc.org/abstract/AGR/IND605947294,Suarez-Nunez2017,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device|horizontal_transmission,horizontal transmission of Beauveria bassiana (Balsamo) Vuillemin strain Bb-M to induce ep,,,Vuillemin strain,endpoint_in_abstract
1770,rayyan-628420544,Estimating Contact Rates Between Metarhizium anisopliae-Exposed Males With Female Aedes aegypti,2021,"Reyes-Villanueva, Filiberto;Russell, Tanya L;Rodriguez-Perez, Mario A",10.3389/fcimb.2021.616679,https://doi.org/10.3389/fcimb.2021.616679,Reyes-Villanueva2021,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device,,,,Aedes aegypti,endpoint_in_abstract
5692,rayyan-628426219,"Evaluating the Vector Control Potential of the In2Care(R) Mosquito Trap Against Aedes aegypti and Aedes albopictus Under Semifield Conditions in Manatee County, Florida.",2017,Buckner EA;Williams KF;Marsicano AL;Latham MD;Lesser CR,10.2987/17-6642R.1,https://doi.org/10.2987/17-6642R.1,Buckner2017,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,autodissemination_device,,,,Aedes aegypti; Aedes albopictus,endpoint_in_abstract
6145,rayyan-628433031,"Evaluation of In2Care mosquito stations for suppression of the Australian backyard mosquito, Aedes notoscriptus (Diptera: Culicidae)",2023,"Paris, Veronique;Bell, Nicholas;Schmidt, Thomas L;Endersby-Harshman, Nancy M;Hoffmann, Ary A",10.1093/jme/tjad099,https://doi.org/10.1093/jme/tjad099,Paris2023,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device,,,,Australian backyard; Aedes notoscriptus,endpoint_in_abstract
2837,rayyan-628421742,Evaluation of Locally Isolated Entomopathogenic Fungi against Multiple Life Stages of Bactrocera zonata and Bactrocera dorsalis (Diptera: Tephritidae): Laboratory and Field Study,2021,"Usman, Muhammad;Wakil, Waqas;Pinero, Jaime C;Wu, Shaohui;Toews, Michael D;Shapiro-Ilan, David Ian",10.3390/microorganisms9081791,https://doi.org/10.3390/microorganisms9081791,Usman2021,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,"horizontal transmission, greenhouse, and field-cage efficacy of locally isolated entomopat",,,Bactrocera zonata,endpoint_in_abstract
2592,rayyan-628421435,Evaluation of the In2care Mosquito Station against Culex quinquefasciatus mosquitoes (Diptera: Culicidae) under semifield conditions,2025,"Buckner, Eva A;Romero-Weaver, Ana L;Schluep, Sierra M;Bellamy, Shawna K;Zimler, Rebecca A;Kendziorski, Natalie L;Ramirez, Daviela;Whitehead, Shelley A",10.1093/jme/tjae124,https://doi.org/10.1093/jme/tjae124,Buckner2025,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device,,,,Culex quinquefasciatus,endpoint_in_abstract
4878,rayyan-628423830,Foster carers influence brood pathogen resistance in ants,2014,"Purcell, Jessica;Chapuisat, Michel",10.1098/rspb.2014.1338,https://doi.org/10.1098/rspb.2014.1338,Purcell2014,03-autodissemination-social,03-autodissemination-social,abstract,0,social_behaviour,trophallaxis and allogrooming | whether colonies contain a single or multiple queens) of t,,,Foster carers; Social organisms,endpoint_in_abstract
5450,rayyan-628425380,Horizontal Transmission of Beauveria bassiana (Hypocreales: Cordycipitaceae) and Metarhizium anisopliae (Hypocreales: Clavicipitaceae) in Musca domestica (Diptera: Muscidae),2015,"Carcamo, MC;Felchicher, F;Duarte, JP;Bernardi, E;Ribeiro, PB",10.1093/jee/tov163,https://doi.org/10.1093/jee/tov163,Carcamo2015,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,Horizontal Transmission of Beauveria bassiana (Hypocreales: Cordycipitaceae) and Metarhizi,"90%, and the mortality",,Musca domestica,endpoint_in_abstract
6144,rayyan-628433030,"Horizontal Transmission of the Entomopathogenic Fungal Isolate INRS-242 of Beauveria bassiana (Hypocreales: Cordycipitaceae) in Emerald Ash Borer, Agrilus planipennis (Coleoptera: Buprestidae)",2020,"Srei, Narin;Lavallee, Robert;Guertin, Claude",10.1093/jee/toz256,https://doi.org/10.1093/jee/toz256,Srei2020,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device|horizontal_transmission,Horizontal Transmission of the Entomopathogenic Fungal Isolate INRS-242 of Beauveria bassi,,,Agrilus planipennis; Emerald ash,endpoint_in_abstract
6111,rayyan-628432283,Horizontal transmission of Beauveria bassiana (Bals.) Vuill,2000,"Long, DW;Groden, E;Drummond, FA",10.1046/j.1461-9563.2000.00046.x,https://doi.org/10.1046/j.1461-9563.2000.00046.x,Long2000,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,horizontal transmission; cadaver density and life stage affect prepupa infection,Mortality and sporulation of burrowing CPB prepupae both increased significantly with increased sporulating second-instar cadaver density,,Leptinotarsa decemlineata,endpoint_in_abstract
5453,rayyan-628425448,Horizontal transmission of Beauveria bassiana in Anastrepha ludens (Diptera: Tephritidae) under laboratory and field cage conditions,2007,"Toledo, Jorge;Campos, Sergio E;Flores, Salvador;Liedo, Pablo;Barrera, Juan F;Villasenior, Antonio;Montoya, Pablo",10.1603/0022-0493(2007)100[291:htobbi]2.0.co;2,https://doi.org/10.1603/0022-0493(2007)100[291:htobbi]2.0.co;2,Toledo2007,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission|SIT,Horizontal transmission of Beauveria bassiana in Anastrepha ludens (Diptera: Tephritidae) ,mortality = 98.7% | mortality = 99.3%,LT50 = 4 | LC50 = 9 | LC50 = 2,Horizontal transmission; Anastrepha ludens,endpoint_in_abstract
5814,rayyan-628426567,Horizontal transmission of Beauveria bassiana spores using infected males and inoculation device: impact on survival and fecundity of Ceratitis capitata (Diptera: Tephritidae),2022,"Galvez, Cesar;Flores, Salvador;Campos, Sergio;Ramirez, Francisco Ramirez;Rosas-Quijano, Raymundo;Montoya, Pablo",10.21203/rs.3.rs-2180398/v1,https://doi.org/10.21203/rs.3.rs-2180398/v1,Galvez2022,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device|horizontal_transmission|SIT,Horizontal transmission of Beauveria bassiana spores using infected males and inoculation ,,,Horizontal transmission; Ceratitis capitata,endpoint_in_abstract
4917,rayyan-628423950,Horizontal transmission of entomopathogenic fungi by the diamondback moth,2001,"Furlong, MJ;Pell, JK",10.1006/bcon.2001.0981,https://doi.org/10.1006/bcon.2001.0981,Furlong2001,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device|horizontal_transmission,Horizontal transmission of entomopathogenic fungi by the diamondback moth,100% mortality | 85% mortality | 93% mortality | resulted in 85% mortality,LC50 of B,Horizontal transmission,endpoint_in_abstract
4911,rayyan-628423899,"Horizontal transmission of the entomopathogenic fungus Beauveria bassiana among the spruce bark beetle, Ips typographus (Col., Scolytidae) in the laboratory and under field conditions",2004,"Kreutz, J;Zimmermann, G;Vaupel, O",10.1080/788222844,https://doi.org/10.1080/788222844,Kreutz2004,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,Horizontal transmission of the entomopathogenic fungus Beauveria bassiana among the spruce,"mortalities at 7 days were 83, 77 and 75% | mortality of treated and untreated beetles was 99% | mortality was 44% | 96% mortality",,Horizontal transmission; Ips typographus,endpoint_in_abstract
4708,rayyan-628423659,"Identity, Prevalence, and Pathogenicity of Entomopathogenic Fungi Infecting Invasive Polistes (Vespidae: Polistinae) Paper Wasps in New Zealand",2022,"Reason, Aiden;Bulgarella, Mariana;Lester, Philip J",10.3390/insects13100922,https://doi.org/10.3390/insects13100922,Reason2022,03-autodissemination-social,03-autodissemination-social,abstract,0,,,,,Two species; Polistes chinensis,no_endpoint_in_abstract
5087,rayyan-628424478,Indigenous strains of Beauveria and Metharizium as potential biological control agents against the invasive hornet Vespa velutina.,2018,Poidatz J;Lopez Plantey R;Thiery D,10.1016/j.jip.2018.02.021,https://doi.org/10.1016/j.jip.2018.02.021,Poidatz2018,03-autodissemination-social,03-autodissemination-social,abstract,0,,,,LT50 | LT50 was quite short in all isolates (average 5,Indigenous strains; Vespa velutina,no_endpoint_in_abstract
94,rayyan-628415251,"Investigating the potential of an autodissemination system for managing populations of vine weevil, Otiorhynchus sulcatus (Coleoptera: Curculionidae) with entomopathogenic fungi",2018,"Pope, Tom W;Hough, Gemma;Arbona, Charlotte;Roberts, Harriet;Bennison, Jude;Buxton, John;Prince, Gill;Chandler, Dave",10.1016/j.jip.2018.04.002,https://doi.org/10.1016/j.jip.2018.04.002,Pope2018,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device,,70-90% mortality | caused 70-90% mortality,,Otiorhynchus sulcatus; Vine weevil,endpoint_in_abstract
5070,rayyan-628424415,"Laboratory and field evaluation of an autoinoculation device as a tool to manage poultry red mite, Dermanyssus gallinae, infestations with Beauveria bassiana.",2020,Nascimento MM;Alves LFA;de Oliveira DGP;Lopes RB;Guimaraes ATB,10.1007/s10493-020-00466-6,https://doi.org/10.1007/s10493-020-00466-6,Nascimento2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,autodissemination_device,,mortalities by the fungus were higher than 70%,,Dermanyssus gallinae,endpoint_in_abstract
5811,rayyan-628426494,"Metarhizium anisopliae and Beauveria bassiana: Pathogenicity, Horizontal Transmission, and Their Effects on Reproductive Potential of Thaumatotibia leucotreta (Lepidoptera: Tortricidae).",2020,Mkiga AM;Mohamed SA;du Plessis H;Khamis FM;Akutse KS;Ekesi S,10.1093/jee/toz342,https://doi.org/10.1093/jee/toz342,Mkiga2020,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,"Horizontal Transmission, and Their Effects on Reproductive Potential of Thaumatotibia leuc",50% mortality,LT50) of 3,Thaumatotibia leucotreta,endpoint_in_abstract
6146,rayyan-628433046,Microbial Control of the Emerald Ash Borer (Coleoptera: Buprestidae) Using Beauveria bassiana (Hypocreales: Cordycipitaceae) by the Means of an Autodissemination Device,2020,"Srei, Narin;Guertin, Claude;Lavallee, Robert;Lajoie, Marie-Eve;Brousseau, Christian;Bergevin, Rejean;Miller, Fredric;McMillin, Kendra;Trudel, Richard",10.1093/jee/toaa226,https://doi.org/10.1093/jee/toaa226,Srei2020,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,autodissemination_device,,,,Emerald ash,endpoint_in_abstract
6112,rayyan-628432284,Modelling Beauveria bassiana horizontal transmission,2000,"Long, DW;Drummond, FA;Groden, E;Donahue, DW",10.1046/j.1461-9563.2000.00047.x,https://doi.org/10.1046/j.1461-9563.2000.00047.x,Long2000,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,horizontal transmission modelled between larval cadavers and soil-inhabiting prepupae; temperature-dependent,horizontal transmission can range from 3 to 24%,,Leptinotarsa decemlineata,endpoint_in_abstract
1066,rayyan-628419778,"Mycosis inhibits cannibalism by Melanoplus sanguinipes, M. differentialis, Schistocerca americana, and Anabrus simplex",2013,"Jaronski, Stefan T",10.1673/031.013.12201,https://doi.org/10.1673/031.013.12201,Jaronski2013,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,horizontal transmission of Microsporida and entomopathogenic fungi,,,Mycosis inhibits; Melanoplus sanguinipes,endpoint_in_abstract
1521,rayyan-628420270,Natural biocide disrupts nestmate recognition in honeybees,2019,"Cappa, Federico;Petrocelli, Iacopo;Dani, Francesca Romana;Dapporto, Leonardo;Giovannini, Michele;Silva-Castellari, Jeferson;Turillazzi, Stefano;Cervo, Rita",10.1038/s41598-019-38963-3,https://doi.org/10.1038/s41598-019-38963-3,Cappa2019,03-autodissemination-social,03-autodissemination-social|04-nontarget-ecotox,abstract,0,social_behaviour,nestmate recognition in honeybees | pact of the fungus Beauveria bassiana on honeybee nest,,,Natural biocide; Honeybee colonies,endpoint_in_abstract
379,rayyan-628415693,Optimization and efficacy of an autoinoculation device for managing Liriomyza sativae with Beauveria bassiana,2025,"Zhang, Qikai;Wang, Dengjie;Liang, Xinghui;Wang, Haihong;Lyu, Baoqian",,http://europepmc.org/abstract/AGR/IND609241699,Zhang2025,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,autodissemination_device,,,,Liriomyza sativae,endpoint_in_abstract
6151,rayyan-628433188,Pathogenicity of entomopathogenic fungi Metarhizium anisopliae and Beauveria bassiana (Hypocreales: Clavicipitaceae) isolates to the adult pea leafminer (Diptera: Agromyzidae) and prospects of an autoinoculation device for infection in the field,2010,"Migiro, LN;Maniania, NK;Chabi-Olaye, A;Vandenberg, J",10.1603/en09359,https://doi.org/10.1603/en09359,Migiro2010,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device,,mortality between 40 and 100% | Mortality of up to 100% | 50% mortality,,Seventeen isolates; Liriomyza huidobrensis,endpoint_in_abstract
1355,rayyan-628420086,Pathogenicity of three formulations of Beauveria bassiana and efficacy of autoinoculation devices and sterile fruit fly males for dissemination of conidia for the control of Ceratitis capitata,2017,"Toledo, Jorge;Flores, Salvador;Campos, Sergio;Villasenor, Antonio;Enkerlin, Walther;Liedo, Pablo;Valle, Alvaro;Montoya, Pablo",10.1111/eea.12608,https://doi.org/10.1111/eea.12608,Toledo2017,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device|SIT,,,LC50) of 1,Ceratitis capitata,endpoint_in_abstract
6147,rayyan-628433094,Physiological and Pathogenical Characterization of Beauveria bassiana and Metarhizium anisopliae Isolates for Management of Adult Spodoptera frugiperda,2019,"Guti??rrez-C??rdenas, Oscar Giovanni;Cortez-Madrigal, Hipolito;Malo, Edi A;G??mez-Ru??z, Jaime;Nord, Rineaud",,http://europepmc.org/abstract/AGR/IND606489546,Gutirrez-Crdenas2019,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device|horizontal_transmission,"horizontal transmission of the entomopathogen male-female in three ratios (1:5, 1:10, 1:15",,,Spodoptera frugiperda; All isolates,endpoint_in_abstract
330,rayyan-628415621,Semifield evaluation of autodissemination systems in Aedes notoscriptus and Culex quinquefasciatus and laboratory analysis of In2Care formulation effects,2026,"Paris, Veronique;Bell, Nicholas;Hoffmann, Ary A",10.1093/jme/tjag078,https://doi.org/10.1093/jme/tjag078,Paris2026,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery,abstract,0,autodissemination_device,,,,Semifield evaluation; Aedes notoscriptus,endpoint_in_abstract
2595,rayyan-628421438,Sexual performance and survival of males of Ceratitis capitata VIENNA 8 (Diptera: Tephritidae) inoculated with a commercial formulation of Beauveria bassiana,2022,"Ramirez y Ramirez, Francisco;Salvador-Figueroa, Miguel;Rosas-Quijano, Raymundo;Cruz-Lopez, Leopoldo;Toledo, Jorge;Quintero-Fong, Luis",,http://europepmc.org/abstract/AGR/IND607628548,RamirezyRamirez2022,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery,abstract,0,autodissemination_device|SIT,,,,Sexual performance; Ceratitis capitata,endpoint_in_abstract
